URL,Sandwich name,Take away cost (£),Kcal per £,KJ per £,Protein (g) per £,Weight (g),Energy (KJ) per 100g,Energy (KJ) per serving,Energy (Kcal) per 100g,Energy (Kcal) per serving,Fat (g) per 100g,Fat (g) per serving,Fat saturates (g) per 100g,Fat saturates (g) per serving,Carbohydrates (g) per 100g,Carbohydrates (g) per serving,Sugars (g) per 100g,Sugars (g) per serving,Fibre (g) per 100g,Fibre (g) per serving,Protein (g) per 100g,Protein (g) per serving,Salt (g) per 100g,Salt (g) per serving
https://www.pret.co.uk/en-GB/products/UK000809/chicken-avocado-and-basil,"Chicken, Avocado and Basil",3.99,120,502,5.8,239,836,"2,002",200,479,9.7,23.3,2,4.8,16.9,40.4,1.7,4,3.1,7.4,9.7,23.1,0.83,1.99
https://www.pret.co.uk/en-GB/products/UK020003/falafel-avo-and-chipotle-wrap,"Falafel, Avo and Chipotle Wrap",3.99,119,496,2.5,250,792,"1,980",189,473,8.4,21,1.8,4.4,22.7,56.9,5,12.5,3.5,8.6,4,9.9,0.33,0.82
https://www.pret.co.uk/en-GB/products/UK003816/slim-pole-and-line-caught-tuna-mayo-and-cucumber,Slim Pole and Line Caught Tuna Mayo and Cucumber,2.2,117,491,5.7,115,938,"1,081",223,257,8.4,9.6,0.9,1.1,25.5,29.4,1.8,2,1.1,1.3,10.9,12.6,1.07,1.23
https://www.pret.co.uk/en-GB/products/UK005266/jambon-beurre,Jambon-Beurre,3.15,112,469,5,147,"1,005","1,477",241,354,9.1,13.4,5,7.3,28,41.2,1.5,2.2,2.2,3.2,10.7,15.7,1.9,2.79
https://www.pret.co.uk/en-GB/products/UK007579/hoisin-duck-wrap,Hoisin Duck Wrap,3.99,111,467,5.3,223,836,"1,862",199,444,7.9,17.5,1.2,2.8,21.8,48.6,5.6,12.5,1.7,3.8,9.4,21,1.17,2.61
https://www.pret.co.uk/en-GB/products/UK008007/vegan-chilli-salad-wrap,Vegan Chilli Salad Wrap,3.75,109,458,3.3,262,655,"1,716",156,409,5.3,13.9,1.1,2.9,20.1,52.6,2.1,5.6,4.8,12.5,4.7,12.3,0.63,1.66
https://www.pret.co.uk/en-GB/products/UK008138/meatless-meatball-hot-wrap,Meatless Meatball Hot Wrap ,4.85,105,439,4.1,237,899,"2,131",215.2,510,9.4,22.3,2.4,5.7,22.3,52.9,4,9.4,3.4,8,8.4,19.8,0.9,2
https://www.pret.co.uk/en-GB/products/UK000716/scottish-smoked-salmon,Scottish Smoked Salmon,4.25,95,398,5.2,158,"1,070","1,690",256,405,11.8,18.6,3.8,6,23.4,37,0.6,0.9,2.2,3.5,14.1,22.3,1.9,3
https://www.pret.co.uk/en-GB/products/UK008129/firecracker-chicken-toasted-focaccia,Firecracker Chicken Toasted Focaccia,5.25,93,392,4.5,250,822.4,2056,196,490,8,20,1,2.5,21.7,54.2,3.1,7.8,1.9,4.8,9.4,23.4,1.2,2.9
https://www.pret.co.uk/en-GB/products/UK007637/mozzarella-pesto-and-roasted-tomatoes-focaccia,"Mozzarella, Pesto and Roasted Tomatoes Focaccia",5.25,94,391,3.2,211,973,2053,232.7,491,12.4,26.1,2.9,6.2,22.7,48,1.6,3.3,2.1,4.5,8,16.9,1.2,2.5
https://www.pret.co.uk/en-GB/products/UK006965/vegan-ragu-and-red-pepper-hot-wrap,Vegan Ragu and Red Pepper Hot Wrap,4.85,87,364,3.1,276,640,"1,767",152.2,420,3.8,10.6,0.7,1.9,22.5,62,4.7,13,3.8,10.5,5.5,15.2,1,2.7
https://www.pret.co.uk/en-GB/products/UK007180/smashed-avo-open-sandwich,Smashed Avo Open Sandwich,3.75,86,357,1.1,151,884,"1,338",213,322,14.6,22.1,2.8,4.2,14.6,22.1,0.9,1.4,5.9,9,2.8,4.2,0.28,0.43
https://www.pret.co.uk/en-GB/products/UK007663/smoked-salmon-and-soft-cheese-open-sandwich,Smoked Salmon and Soft Cheese Open Sandwich,4.5,78,327,4,180,817,"1,471",196,353,10.5,18.9,2.6,4.7,13,23.4,1.2,2.2,4,7.2,10.1,18.2,1.72,3.1
